paper_id,paper_title,task_name,model,score_percent,score_status,notes
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,GPT-4o-mini,53.1,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,GPT-5 Chat,73.0,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,MedGemma-27B,40.9,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Llama 3.3 70B,54.0,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Qwen3 32B,36.6,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,DrugGPT,63.4,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),GPT-4o-mini,83.2,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),GPT-5 Chat,90.0,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),MedGemma-27B,81.2,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Llama 3.3 70B,88.0,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Qwen3 32B,79.6,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),DrugGPT,80.4,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,GPT-4o-mini,67.7,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,GPT-5 Chat,75.2,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,MedGemma-27B,69.1,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,Llama 3.3 70B,74.3,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,Qwen3 32B,71.6,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,DrugGPT,74.0,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,GPT-4o-mini,70.4,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,GPT-5 Chat,84.8,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,MedGemma-27B,66.5,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,Llama 3.3 70B,66.7,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,Qwen3 32B,75.6,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Rx-Bench DDI ID,DrugGPT,77.7,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,GPT-4o-mini,83.3,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,GPT-5 Chat,87.4,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,MedGemma-27B,76.9,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,Llama 3.3 70B,83.2,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,Qwen3 32B,79.7,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Renal Dose ID,DrugGPT,77.9,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,GPT-4o-mini,96.5,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,GPT-5 Chat,99.3,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,MedGemma-27B,96.9,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,Llama 3.3 70B,97.6,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,Qwen3 32B,94.0,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug-Indication,DrugGPT,98.4,published_table,Rx-Bench Tables 2-3 primary metric: Accuracy.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,GPT-4o-mini,61,published_table,Table 3 row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,GPT-5 Chat,81,published_table,Table 3 row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,MedGemma-27B,50,published_table,Table 3 MedGemma-27B row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,Gemma 3 27B,,not_reported_for_model,Base Gemma 3 27B is not reported in DDI identification Table 3; MedGemma-27B is listed separately.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,Llama 3.3 70B,60,published_table,Table 3 row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,Qwen3 32B,67,published_table,Table 3 row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI ID,DrugGPT,50,published_table,Table 3 row: DDI ID.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,GPT-4o-mini,87,published_table,Table 3 row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,GPT-5 Chat,94,published_table,Table 3 row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,MedGemma-27B,85,published_table,Table 3 MedGemma-27B row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,Gemma 3 27B,,not_reported_for_model,Base Gemma 3 27B is not reported in DDI identification Table 3; MedGemma-27B is listed separately.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,Llama 3.3 70B,82,published_table,Table 3 row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,Qwen3 32B,84,published_table,Table 3 row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI 3-Drug Combo,DrugGPT,94,published_table,Table 3 row: DDI 3-Drug Combo.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,GPT-4o-mini,71,published_table,Table 3 row: DDI Multi-Drug.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,GPT-5 Chat,88,published_table,Table 3 row: DDI Multi-Drug.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,MedGemma-27B,80,published_table,Table 3 MedGemma-27B row: DDI Multi-Drug.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,Gemma 3 27B,,not_reported_for_model,Base Gemma 3 27B is not reported in DDI identification Table 3; MedGemma-27B is listed separately.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,Llama 3.3 70B,69,published_table,Table 3 row: DDI Multi-Drug.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,Qwen3 32B,76,published_table,Table 3 row: DDI Multi-Drug.
ddi-identification,Drug-drug interaction identification using large language models,DDI Multi-Drug,DrugGPT,93,published_table,Table 3 row: DDI Multi-Drug.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),GPT-4o-mini,94,source_derived_aggregate,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),GPT-5 Chat,95,source_derived_aggregate,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),Gemma 3 27B,94,source_derived_aggregate,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),Llama 3.3 70B,95,source_derived_aggregate,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),Qwen3 32B,95,source_derived_aggregate,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Solid),DrugGPT,,not_reported_for_model,Entity accuracy category: Oral Solid.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),GPT-4o-mini,91,source_derived_aggregate,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),GPT-5 Chat,90,source_derived_aggregate,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),Gemma 3 27B,91,source_derived_aggregate,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),Llama 3.3 70B,84,source_derived_aggregate,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),Qwen3 32B,89,source_derived_aggregate,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Oral Liq),DrugGPT,,not_reported_for_model,Entity accuracy category: Oral Liq.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),GPT-4o-mini,97,source_derived_aggregate,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),GPT-5 Chat,96,source_derived_aggregate,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),Gemma 3 27B,97,source_derived_aggregate,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),Llama 3.3 70B,94,source_derived_aggregate,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),Qwen3 32B,96,source_derived_aggregate,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Intermit),DrugGPT,,not_reported_for_model,Entity accuracy category: IV Intermit.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),GPT-4o-mini,96,source_derived_aggregate,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),GPT-5 Chat,95,source_derived_aggregate,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),Gemma 3 27B,95,source_derived_aggregate,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),Llama 3.3 70B,94,source_derived_aggregate,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),Qwen3 32B,95,source_derived_aggregate,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (IV Push),DrugGPT,,not_reported_for_model,Entity accuracy category: IV Push.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),GPT-4o-mini,84,source_derived_aggregate,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),GPT-5 Chat,86,source_derived_aggregate,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),Gemma 3 27B,88,source_derived_aggregate,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),Llama 3.3 70B,78,source_derived_aggregate,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),Qwen3 32B,88,source_derived_aggregate,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Titrate),DrugGPT,,not_reported_for_model,Entity accuracy category: Continuous Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),GPT-4o-mini,80,source_derived_aggregate,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),GPT-5 Chat,81,source_derived_aggregate,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),Gemma 3 27B,83,source_derived_aggregate,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),Llama 3.3 70B,81,source_derived_aggregate,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),Qwen3 32B,83,source_derived_aggregate,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch (Continuous Non-Titrate),DrugGPT,,not_reported_for_model,Entity accuracy category: Continuous Non-Titrate.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,GPT-4o-mini,90,source_derived_aggregate,Route accuracy table mean across route categories.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,GPT-5 Chat,98,source_derived_aggregate,Route accuracy table mean across route categories.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,Gemma 3 27B,86,source_derived_aggregate,Route accuracy table mean across route categories.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,Llama 3.3 70B,81,source_derived_aggregate,Route accuracy table mean across route categories.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,Qwen3 32B,84,source_derived_aggregate,Route accuracy table mean across route categories.
medmatch,MedMatch: a first step for the automation of large language model performance benchmarking for medication-related tasks,MedMatch Route Selection,DrugGPT,,not_reported_for_model,Route accuracy table mean across route categories.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),GPT-4o-mini,2,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),GPT-5 Chat,,not_reported_for_model,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),Gemma 3 27B,4,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),Llama 3.3 70B,14,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),Qwen3 32B,2,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Generic),DrugGPT,,not_reported_for_model,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),GPT-4o-mini,1,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),GPT-5 Chat,,not_reported_for_model,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),MedGemma-27B,,not_reported_for_model,MedGemma-27B is not reported for this paper; base Gemma 3 27B remains separate where reported.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),Gemma 3 27B,2,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),Llama 3.3 70B,8,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),Qwen3 32B,1,computed_from_pmc_table_2,Suspicion detected = 100 - default dosing confabulation rate.
drug-or-pokemon,Drug or Pokemon? Large language model performance in identification of fabricated medications,Pokémon (Brand),DrugGPT,,not_reported_for_model,Suspicion detected = 100 - default dosing confabulation rate.
